TIME,PSF_FLUX,APER_FLUX,BKG_FLUX,QUALITY,APER_FLUX_FLAT,APER_FLUX_FLAT_ERR,APER_FLUX_TREND
1600.8668840836265,12019.9775390625,1.0055332618079988,193.75733947753903,0,1.0006035170289005,0.0003971333086159903,1.0049267713886678
1600.887717331852,12011.3994140625,1.0046785277407095,193.5786895751953,0,0.9997804376002368,0.0003971333086159903,1.0048991658130755
1600.9293838278354,12034.1640625,1.0048450200169845,192.63710021972656,0,1.000009050552982,0.0003971333086159903,1.0048359256962007
1600.9502170753617,12048.0927734375,1.0055841256722875,192.0109100341797,0,1.0007771472884106,0.0003971333086159903,1.0048032455546185
1600.9710503227716,12042.2294921875,1.0048559983976304,191.6835784912109,0,0.9999926414133309,0.0003971333086159903,1.0048633927719968
1600.991883569831,12060.5869140625,1.005584915483845,191.3031463623047,0,1.0007277681431523,0.0003971333086159903,1.0048536150342915
1601.0127168166584,12060.333984375,1.00447791560516,190.92428588867188,0,0.9996413098539653,0.0003971333086159903,1.0048383412165123
1601.0335500632534,12064.1103515625,1.004635325048526,190.22186279296875,0,0.9998199991321483,0.0003971333086159903,1.004816192835268
1601.0543833094985,12057.783203125,1.0047251266225887,189.5910797119141,0,0.9999084096533917,0.0003971333086159903,1.0048171581743839
1601.0752165556269,12077.2041015625,1.0041180774596628,189.0660095214844,0,0.9993166820088247,0.0003971333086159903,1.0048046785741496
1601.0960498014074,12094.66015625,1.0041728114005823,188.48092651367188,0,0.9993956916317466,0.0003971333086159903,1.0047800083678928
1601.1168830469546,12095.6357421875,1.0043994873175222,187.89761352539065,0,0.9996344168998882,0.0003971333086159903,1.004766813083939
1601.137716292268,12113.580078125,1.0048884596526346,187.6166839599609,0,1.0000988501873485,0.0003971333086159903,1.0047891360582897
1601.1585495373497,12125.9326171875,1.0057652294623722,187.16932678222656,0,1.0009352154365165,0.0003971333086159903,1.004825501142698
1601.1793827820825,12122.8486328125,1.0054212665291764,187.05702209472656,0,1.0005709661613553,0.0003971333086159903,1.0048475325907458
1601.2002160265815,12116.5048828125,1.0049397184227022,186.85987854003903,0,1.0000965119899585,0.0003971333086159903,1.0048427390503611
1601.2210492709637,12134.392578125,1.0053000304551338,186.5808868408203,0,1.000464853346818,0.0003971333086159903,1.004832930504396
1601.2418825148811,12128.69140625,1.0048226683499129,186.4038543701172,0,1.0000062622032007,0.0003971333086159903,1.004816375985587
1601.262715758682,12134.41796875,1.0050279403736504,186.0146942138672,0,1.0002208256544445,0.0003971333086159903,1.0048060534193144
1601.283549002133,12133.3759765625,1.0047350782482107,185.5694732666016,0,0.9999568079568307,0.0003971333086159903,1.0047784766835512
1601.3043822453517,12139.65625,1.0046128944002994,185.0214233398437,0,0.9998413067972908,0.0003971333086159903,1.0047723449417119
1601.3252154883376,12162.935546875,1.0049065463372964,184.4487762451172,0,1.0001437941429803,0.0003971333086159903,1.0047620674369102
1601.34604873109,12168.53125,1.004361734325084,183.6477813720703,0,0.9996245455147194,0.0003971333086159903,1.0047389680771848
1601.3668819734935,12185.033203125,1.0051718440393869,182.8844757080078,0,1.000472027990892,0.0003971333086159903,1.0046975986504418
1601.3877152156645,12188.8828125,1.0049364012141615,182.32296752929688,0,1.000249521820945,0.0003971333086159903,1.0046857102062734
1601.4085484576026,12198.623046875,1.0048030020421368,181.6395721435547,0,1.000152901071209,0.0003971333086159903,1.004649390074205
1601.429381699191,12197.3017578125,1.0044719920184804,181.1017608642578,0,0.999834155641824,0.0003971333086159903,1.0046386056632355
1601.4502149405466,12205.796875,1.0048783500647016,180.7036590576172,0,1.0002586356533996,0.0003971333086159903,1.0046185198973907
1601.4710481816703,12221.4697265625,1.0048112160823328,180.2670288085937,0,1.000197220578319,0.0003971333086159903,1.0046130857085827
1601.49188142256,12201.4990234375,1.0042470536869668,179.90199279785156,0,0.9996310169915176,0.0003971333086159903,1.0046177405632546
1601.5127146631005,12222.7646484375,1.0046473301841965,179.74810791015625,0,1.0000271851428884,0.0003971333086159903,1.0046200194454193
1601.5335479034095,12225.2509765625,1.0050773035959808,179.6179656982422,0,1.000473721927029,0.0003971333086159903,1.0046014018839844
1601.5543811434854,12228.619140625,1.0053509733005783,179.593994140625,0,1.0007858863715766,0.0003971333086159903,1.004561502106662
1601.575214383212,12232.630859375,1.0052936329815196,179.78521728515625,0,1.0007805254799211,0.0003971333086159903,1.004509587653531
1601.596047622705,12216.666015625,1.0038479619070728,179.79977416992188,0,0.9993771427922169,0.0003971333086159903,1.0044736055323065
1601.6168808619657,12234.87890625,1.0045640050649036,180.0828399658203,0,1.0001298804626586,0.0003971333086159903,1.0044335487708795
1601.637714100877,12211.4873046875,1.004478863379029,180.2154693603516,0,1.0001060453253598,0.0003971333086159903,1.0043723543859255
1601.6585473395544,12193.8876953125,1.004319163482147,180.43502807617188,0,0.9999845978772279,0.0003971333086159903,1.004334632367459
1601.6793805780003,12210.701171875,1.0047807293562214,180.6881256103516,0,1.0004815925823904,0.0003971333086159903,1.004297067338075
1601.7002138160974,12195.8056640625,1.004159858491043,180.79586791992188,0,0.9998987992141611,0.0003971333086159903,1.0042614905430736
1601.7210470539603,12204.7529296875,1.0044996354229851,181.007080078125,0,1.0002843839411444,0.0003971333086159903,1.0042140530728196
1601.7418802914744,12197.08984375,1.0040399650966476,180.7896423339844,0,0.9998737445319704,0.0003971333086159903,1.0041667466392243
1601.7627135287555,12208.7353515625,1.004299892080149,180.6815185546875,0,1.000149996290998,0.0003971333086159903,1.0041492734135284
